,ID,State,Name,County,Lat,Lon,Combust,Fuel,FuelCat,Capacity,HeatInput,NetGen,NOX,SO2,CO2,CoalGen,OilGen,GasGen,NuclearGen,HydroGen,BiomassGen,WindGen,SolarGen,GeoGen,OtherFossilGen,OtherGen,NonRenewGen,RenewGen,CombGen,NonCombGen,CoalPortion,CapFac,SO2OutRate,CO2OutRate,NOXOutRate,NOXInRate,CO2InRate,SO2InRate
0,1,AK,Alakanuk,Wade Hampton,62.6833,-164.6544,1.0,JF,OIL,1.3,15801.5,1859.0,19.26,0.0,1262.7,0.0,1859.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1859.0,0.0,1859.0,0.0,0.0,0.1632420091324201,0.0,0.6792361484669177,0.010360408821947284,0.0012188716261114453,0.07991013511375503,0.0
1,2,AK,Anchorage 1,Anchorage,61.2328,-149.8909,1.0,NG,GAS,103.1,666135.0,55428.0,92.0,1.32,39074.5,0.0,366.5,55061.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55428.0,0.0,55428.0,0.0,0.0,0.06137145742263795,2.3814678501840225e-05,0.7049595872122393,0.0016598109258858338,0.00013811014283891403,0.05865853017781681,1.9815803102974625e-06
2,3,AK,Angoon,Juneau,57.8425,-134.9772,1.0,DFO,OIL,1.5,16388.0,1928.0,19.98,0.66,1340.7,0.0,1928.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1928.0,0.0,1928.0,0.0,0.0,0.14672754946727548,0.00034232365145228216,0.6953838174273859,0.010363070539419088,0.001219184769343422,0.0818098608738101,4.027337075909202e-05
3,4,AK,Aniak,Bethel,61.5875,-159.5317,1.0,DFO,OIL,1.1,28860.0,2725.0,35.18,1.19,2361.1,0.0,2725.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2725.0,0.0,2725.0,0.0,0.0,0.2827936903279369,0.000436697247706422,0.8664587155963303,0.012910091743119266,0.001218988218988219,0.08181219681219681,4.123354123354123e-05
4,5,AK,Annex Creek,Juneau,58.3167,-134.0958,0.0,WAT,HYDRO,4.0,0.0,26436.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26436.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26436.0,0.0,26436.0,0.0,0.7544520547945206,0.0,0.0,0.0,,,
5,6,AK,Auke Bay,Juneau,58.3861,-134.6389,1.0,DFO,OIL,36.2,5506.0,335.0,0.99,0.23,450.5,0.0,335.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.0,0.0,335.0,0.0,0.0,0.0010564090920558036,0.0006865671641791045,1.344776119402985,0.002955223880597015,0.0001798038503450781,0.08181983290955322,4.1772611696331275e-05
6,7,AK,Aurora Energy LLC Chena,Fairbanks,64.8461,-147.7286,1.0,SUB,COAL,29.0,3229698.2,204196.0,1278.31,581.4,347748.2,204196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204196.0,0.0,204196.0,0.0,1.0,0.803794678003464,0.0028472643930341434,1.703011812180454,0.006260210777880076,0.00039579859195512445,0.10767204192639424,0.00018001682014746762
7,8,AK,Barrow,North Slope,71.2789,-156.7981,1.0,NG,GAS,20.3,423325.5,49803.0,58.42,0.74,24766.4,0.0,0.0,49803.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49803.0,0.0,49803.0,0.0,0.0,0.28006275727107094,1.4858542658072807e-05,0.49728731200931675,0.0011730217055197479,0.00013800255359055856,0.05850438964815491,1.7480638421262125e-06
8,9,AK,Beaver Falls,Ketchikan,55.3633,-131.6778,0.0,WAT,HYDRO,5.4,0.0,40956.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40956.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40956.0,0.0,40956.0,0.0,0.8658041603247083,0.0,0.0,0.0,,,
9,10,AK,Beluga,Kenai Peninsula,61.1861,-151.0356,1.0,NG,GAS,374.4,23485485.0,2240960.0,2377.01,41.1,1374006.2,0.0,0.0,2240960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2240960.0,0.0,2240960.0,0.0,0.0,0.6832728408070874,1.8340354133942596e-05,0.6131328537769527,0.0010607105883192918,0.00010121187618650415,0.05850448479135091,1.7500170850208118e-06
